Level,LifetimeSummonsRequired,SummonProgressionBundle
1,55,
2,110,
3,170,
4,230,
5,290,
6,350,
7,410,
8,475,
9,540,SummonProgressionBundle0
10,605,
11,670,
12,735,
13,805,
14,875,
15,945,
16,1015,
17,1085,
18,1160,
19,1235,
20,1310,
21,1385,
22,1460,
23,1540,
24,1620,
25,1700,
26,1780,
27,1860,
28,1945,
29,2030,SummonProgressionBundle1
30,2115,
31,2200,
32,2285,
33,2375,
34,2465,
35,2555,
36,2645,
37,2735,
38,2830,
39,2925,
40,3020,
41,3115,
42,3210,
43,3310,
44,3410,
45,3510,
46,3610,
47,3710,
48,3815,
49,3920,SummonProgressionBundle2
50,4025,
51,4130,
52,4235,
53,4345,
54,4455,
55,4565,
56,4675,
57,4785,
58,4900,
59,5015,
60,5130,
61,5245,
62,5360,
63,5480,
64,5600,
65,5720,
66,5840,
67,5960,
68,6085,
69,6210,
70,6335,
71,6460,
72,6585,
73,6715,
74,6845,
75,6975,
76,7105,
77,7235,
78,7370,
79,7505,SummonProgressionBundle3
80,7640,
81,7775,
82,7910,
83,8050,
84,8190,
85,8330,
86,8470,
87,8610,
88,8755,
89,8900,
90,9045,
91,9190,
92,9335,
93,9485,
94,9635,
95,9785,
96,9935,
97,10085,
98,10240,
99,10395,SummonProgressionBundle4
100,10550,
101,10705,
102,10860,
103,11020,
104,11180,
105,11340,
106,11500,
107,11660,
108,11825,
109,11990,
110,12155,
111,12320,
112,12485,
113,12655,
114,12825,
115,12995,
116,13165,
117,13335,
118,13510,
119,13685,
120,13860,
121,14035,
122,14210,
123,14390,
124,14570,
125,14750,
126,14930,
127,15110,
128,15295,
129,15480,
130,15665,
131,15850,
132,16035,
133,16225,
134,16415,
135,16605,
136,16795,
137,16985,
138,17180,
139,17375,
140,17570,
141,17765,
142,17960,
143,18160,
144,18360,
145,18560,
146,18760,
147,18960,
148,19165,
149,19370,
150,19575,
151,19780,
152,19985,
153,20195,
154,20405,
155,20615,
156,20825,
157,21035,
158,21250,
159,21465,
160,21680,
161,21895,
162,22110,
163,22330,
164,22550,
165,22770,
166,22990,
167,23210,
168,23435,
169,23660,
170,23885,
171,24110,
172,24335,
173,24565,
174,24795,
175,25025,
176,25255,
177,25485,
178,25720,
179,25955,
180,26190,
181,26425,
182,26660,
183,26900,
184,27140,
185,27380,
186,27620,
187,27860,
188,28105,
189,28350,
190,28595,
191,28840,
192,29085,
193,29335,
194,29585,
195,29835,
196,30085,
197,30335,
198,30590,
199,30845,SummonProgressionBundle5
200,31100,
201,31355,
202,31610,
203,31870,
204,32130,
205,32390,
206,32650,
207,32910,
208,33175,
209,33440,
210,33705,
211,33970,
212,34235,
213,34505,
214,34775,
215,35045,
216,35315,
217,35585,
218,35860,
219,36135,
220,36410,
221,36685,
222,36960,
223,37240,
224,37520,
225,37800,
226,38080,
227,38360,
228,38645,
229,38930,
230,39215,
231,39500,
232,39785,
233,40075,
234,40365,
235,40655,
236,40945,
237,41235,
238,41530,
239,41825,
240,42120,
241,42415,
242,42710,
243,43010,
244,43310,
245,43610,
246,43910,
247,44210,
248,44515,
249,44820,
250,45125,
251,45430,
252,45735,
253,46045,
254,46355,
255,46665,
256,46975,
257,47285,
258,47600,
259,47915,
260,48230,
261,48545,
262,48860,
263,49180,
264,49500,
265,49820,
266,50140,
267,50460,
268,50785,
269,51110,
270,51435,
271,51760,
272,52085,
273,52415,
274,52745,
275,53075,
276,53405,
277,53735,
278,54070,
279,54405,
280,54740,
281,55075,
282,55410,
283,55750,
284,56090,
285,56430,
286,56770,
287,57110,
288,57455,
289,57800,
290,58145,
291,58490,
292,58835,
293,59185,
294,59535,
295,59885,
296,60235,
297,60585,
298,60940,
299,61295,SummonProgressionBundle6
300,61650,
301,62005,
302,62360,
303,62720,
304,63080,
305,63440,
306,63800,
307,64160,
308,64525,
309,64890,
310,65255,
311,65620,
312,65985,
313,66355,
314,66725,
315,67095,
316,67465,
317,67835,
318,68210,
319,68585,
320,68960,
321,69335,
322,69710,
323,70090,
324,70470,
325,70850,
326,71230,
327,71610,
328,71995,
329,72380,
330,72765,
331,73150,
332,73535,
333,73925,
334,74315,
335,74705,
336,75095,
337,75485,
338,75880,
339,76275,
340,76670,
341,77065,
342,77460,
343,77860,
344,78260,
345,78660,
346,79060,
347,79460,
348,79865,
349,80270,
350,80675,
351,81080,
352,81485,
353,81895,
354,82305,
355,82715,
356,83125,
357,83535,
358,83950,
359,84365,
360,84780,
361,85195,
362,85610,
363,86030,
364,86450,
365,86870,
366,87290,
367,87710,
368,88135,
369,88560,
370,88985,
371,89410,
372,89835,
373,90265,
374,90695,
375,91125,
376,91555,
377,91985,
378,92420,
379,92855,
380,93290,
381,93725,
382,94160,
383,94600,
384,95040,
385,95480,
386,95920,
387,96360,
388,96805,
389,97250,
390,97695,
391,98140,
392,98585,
393,99035,
394,99485,
395,99935,
396,100385,
397,100835,
398,101290,
399,101745,SummonProgressionBundle7
400,102200,
401,102655,
402,103110,
403,103570,
404,104030,
405,104490,
406,104950,
407,105410,
408,105875,
409,106340,
410,106805,
411,107270,
412,107735,
413,108205,
414,108675,
415,109145,
416,109615,
417,110085,
418,110560,
419,111035,
420,111510,
421,111985,
422,112460,
423,112940,
424,113420,
425,113900,
426,114380,
427,114860,
428,115345,
429,115830,
430,116315,
431,116800,
432,117285,
433,117775,
434,118265,
435,118755,
436,119245,
437,119735,
438,120230,
439,120725,
440,121220,
441,121715,
442,122210,
443,122710,
444,123210,
445,123710,
446,124210,
447,124710,
448,125215,
449,125720,
450,126225,
451,126730,
452,127235,
453,127745,
454,128255,
455,128765,
456,129275,
457,129785,
458,130300,
459,130815,
460,131330,
461,131845,
462,132360,
463,132880,
464,133400,
465,133920,
466,134440,
467,134960,
468,135485,
469,136010,
470,136535,
471,137060,
472,137585,
473,138115,
474,138645,
475,139175,
476,139705,
477,140235,
478,140770,
479,141305,
480,141840,
481,142375,
482,142910,
483,143450,
484,143990,
485,144530,
486,145070,
487,145610,
488,146155,
489,146700,
490,147245,
491,147790,
492,148335,
493,148885,
494,149435,
495,149985,
496,150535,
497,151085,
498,151640,
499,152195,SummonProgressionBundle8
500,152750,
501,153305,
502,153860,
503,154420,
504,154980,
505,155540,
506,156100,
507,156660,
508,157225,
509,157790,
510,158355,
511,158920,
512,159485,
513,160055,
514,160625,
515,161195,
516,161765,
517,162335,
518,162910,
519,163485,
520,164060,
521,164635,
522,165210,
523,165790,
524,166370,
525,166950,
526,167530,
527,168110,
528,168695,
529,169280,
530,169865,
531,170450,
532,171035,
533,171625,
534,172215,
535,172805,
536,173395,
537,173985,
538,174580,
539,175175,
540,175770,
541,176365,
542,176960,
543,177560,
544,178160,
545,178760,
546,179360,
547,179960,
548,180565,
549,181170,
550,181775,
551,182380,
552,182985,
553,183595,
554,184205,
555,184815,
556,185425,
557,186035,
558,186650,
559,187265,
560,187880,
561,188495,
562,189110,
563,189730,
564,190350,
565,190970,
566,191590,
567,192210,
568,192835,
569,193460,
570,194085,
571,194710,
572,195335,
573,195965,
574,196595,
575,197225,
576,197855,
577,198485,
578,199120,
579,199755,
580,200390,
581,201025,
582,201660,
583,202300,
584,202940,
585,203580,
586,204220,
587,204860,
588,205505,
589,206150,
590,206795,
591,207440,
592,208085,
593,208735,
594,209385,
595,210035,
596,210685,
597,211335,
598,211990,
599,212645,SummonProgressionBundle9
600,213300,
601,213955,
602,214610,
603,215270,
604,215930,
605,216590,
606,217250,
607,217910,
608,218575,
609,219240,
610,219905,
611,220570,
612,221235,
613,221905,
614,222575,
615,223245,
616,223915,
617,224585,
618,225260,
619,225935,
620,226610,
621,227285,
622,227960,
623,228640,
624,229320,
625,230000,
626,230680,
627,231360,
628,232045,
629,232730,
630,233415,
631,234100,
632,234785,
633,235475,
634,236165,
635,236855,
636,237545,
637,238235,
638,238930,
639,239625,
640,240320,
641,241015,
642,241710,
643,242410,
644,243110,
645,243810,
646,244510,
647,245210,
648,245915,
649,246620,
650,247325,
651,248030,
652,248735,
653,249445,
654,250155,
655,250865,
656,251575,
657,252285,
658,253000,
659,253715,
660,254430,
661,255145,
662,255860,
663,256580,
664,257300,
665,258020,
