AvatarParticleID,UnlockType,UnlockValue
AvatarParticleAbyss1,ChallengeTournamentShop,1
AvatarParticleAbyss2,ChallengeTournamentShop,1
AvatarParticleAbyss3,ChallengeTournamentShop,1
AvatarParticleAbyss4,ChallengeTournamentShop,1
AvatarParticleAbyss5,ChallengeTournamentShop,1
AvatarParticleAbyss6,ChallengeTournamentShop,1
AvatarParticleAbyss7,ChallengeTournamentShop,1
AvatarParticleAbyss8,ChallengeTournamentShop,1
AvatarParticleAbyss9,ChallengeTournamentShop,1
AvatarParticleAbyss10,ChallengeTournamentShop,1
AvatarParticleAbyss11,ChallengeTournamentShop,1
AvatarParticleAbyss12,ChallengeTournamentShop,1
AvatarParticleAbyss13,ChallengeTournamentShop,1
AvatarParticleAbyss14,ChallengeTournamentShop,1
AvatarParticleAbyss15,ChallengeTournamentShop,1
AvatarParticleAbyss16,ChallengeTournamentShop,1
AvatarParticleAbyss17,ChallengeTournamentShop,1
AvatarParticleAbyss18,ChallengeTournamentShop,1
AvatarParticleAbyss19,ChallengeTournamentShop,1
AvatarParticleAbyss20,ChallengeTournamentShop,1
AvatarParticleAbyss21,ChallengeTournamentShop,1
