StringID,English_Translator,Screenshot,Note,English,ChineseTrad,ChineseSimp,Japanese,Korean,Danish,Dutch,French,German,Italian,Norwegian,Russian,Spanish,Swedish,Turkish,Portuguese
TEST_UPDATE_STRING1,Test Update String 1,,,Test Update String 1,測試更新字串 1,测试更新字串 1,テスト更新文字列 1,테스트 업데이트 문자열 1,Testopdateringsstreng 1,Test Update String 1,Chaîne de mise à jour de test 1,Test-Update-String 1,Stringa di aggiornamento test 1,Testoppdateringsstreng 1,Тестовая строка обновления 1,Cadena de actualización de prueba 1,Testuppdateringssträng 1,Test Güncelleme Dizesi 1,Atualização de teste String 1
TOOLTIP_TITLE_TitanSouls,titan souls,,,Titan Souls,泰坦靈魂,泰坦灵魂,タイタンソウルズ,타이탄 영혼,Titan Sjæle,Titanen Zielen,Âmes De Titans,Titanseelen,Anime Titaniche,Titan Sjeler,Души Титанов,Almas Titanes,Titansjälar,Titan Ruhları,Almas Titãs
TOOLTIP_DESC_TitanSouls,Used to upgrade your Titan Collection,,,Used to upgrade your Titan Collection,用於升級你的泰坦收藏,用于升级你的泰坦收藏,Titan コレクションをアップグレードするために使用します,타이탄 컬렉션을 업그레이드하는 데 사용됩니다.,Bruges til at opgradere din Titan Collection,Wordt gebruikt om je Titan-collectie te upgraden,Utilisé pour améliorer votre collection Titan,"Wird verwendet, um Ihre Titan-Sammlung zu aktualisieren",Utilizzato per aggiornare la tua collezione Titan,Brukes til å oppgradere Titan Collection,Используется для обновления вашей коллекции Титанов.,Se utiliza para mejorar tu colección Titan.,Används för att uppgradera din Titan Collection,Titan Koleksiyonunuzu yükseltmek için kullanılır,Usado para atualizar sua coleção Titan
NEW_CONTENT_PANEL_TITLE,welcome to v7.12!,,,Welcome to v7.12!,歡迎使用 V7.12！,欢迎使用 V7.12！,V7.12へようこそ！,V7.12에 오신 것을 환영합니다!,Velkommen Til V7.12!,Welkom Bij V7.12!,Bienvenue Dans La V7.12 !,Willkommen Bei V7.12!,Benvenuti Alla V7.12!,Velkommen Til V7.12!,Добро Пожаловать В Версию 7.12!,¡Bienvenido A V7.12!,Välkommen Till V7.12!,V7.12'Ye Hoş Geldiniz!,Bem-Vindo À V7.12!
NEW_CONTENT_TEXT_TITLE,trouble is brewing!,,,Trouble is Brewing!,麻煩正在醞釀！,麻烦正在酝酿！,問題が起こりそうです!,문제가 생기고 있어요!,Problemer Er Under Opsejling!,Er Dreigt Onheil!,Les Ennuis Se Préparent !,Es Braut Sich Ärger Zusammen!,I Guai Si Avvicinano!,Problemer Brygger På!,Назревают Неприятности!,¡Se Avecinan Problemas!,Problem Är På Väg!,Sıkıntılar Baş Gösteriyor!,Problemas Estão Surgindo!
NEW_CONTENT_TEXT_DESC,"the alchemy event is here! collect ingredients to craft and distill exciting rewards. also, sword master has been studying ancient knowledge and has two new skill tree skills!",,,"The Alchemy event is here! Collect ingredients to craft and distill exciting rewards. Also, Sword Master has been studying ancient knowledge and has two new skill tree skills!",煉金術活動來了！收集材料進行製作，並提煉令人興奮的獎勵。此外，劍術大師一直在研究古代知識，並擁有兩種新的技能樹技能！,炼金术活动来了！收集材料进行制作，并提炼令人兴奋的奖励。此外，剑术大师一直在研究古代知识，并拥有两种新的技能树技能！,錬金術イベントがやって来ました！材料を集めて、エキサイティングな報酬を作り、蒸留しましょう。また、剣の達人は古代の知識を研究しており、2つの新しいスキルツリースキルを持っています！,"연금술 이벤트가 돌아왔습니다! 재료를 모아 멋진 보상을 제작하고 정제하세요. 또한, 소드 마스터는 고대 지식을 연구하여 두 가지 새로운 스킬 트리를 얻었습니다!","alkymi-begivenheden er her! saml ingredienser til at lave og destillere spændende belønninger. også, sværd mester har studeret gammel viden og har to nye færdigheder træ færdigheder!",Het alchemie-evenement is hier! Verzamel ingrediënten om spannende beloningen te maken en distilleren. Bovendien heeft de zwaardmeester oude kennis bestudeerd en heeft hij twee nieuwe vaardigheden in de vaardigheidsboom!,"L'événement d'alchimie est là ! Récupérez des ingrédients pour fabriquer et distiller des récompenses passionnantes. De plus, le maître de l'épée a étudié les connaissances anciennes et possède deux nouvelles compétences d'arbre de compétences !","Das Alchemie-Event ist da! Sammle Zutaten, um tolle Belohnungen herzustellen und zu destillieren. Außerdem hat der Schwertmeister altes Wissen studiert und verfügt über zwei neue Fertigkeitsbaum-Fertigkeiten!","L'evento di alchimia è arrivato! Raccogli ingredienti per creare e distillare fantastiche ricompense. Inoltre, il maestro di spada ha studiato antiche conoscenze e ha due nuove abilità nell'albero delle abilità!","alkymi-arrangementet er her! samle ingredienser for å lage og destillere spennende belønninger. også, sverdmester har studert eldgammel kunnskap og har to nye ferdighetstre ferdigheter!","Событие «Алхимия» уже началось! Собирайте ингредиенты для создания и перегонки замечательных наград. Кроме того, мастер меча изучает древние знания и получил два новых навыка в дереве навыков!","¡Llegó el evento de alquimia! Reúne ingredientes para crear y destilar recompensas emocionantes. Además, el maestro de la espada ha estado estudiando conocimientos antiguos y tiene dos nuevas habilidades en el árbol de habilidades.",alkemievenemanget är här! samla ingredienser för att tillverka och destillera spännande belöningar. svärdmästaren har också studerat forntida kunskap och har två nya färdigheter i trädet!,"Simya etkinliği burada! Heyecan verici ödüller elde etmek için malzemeler toplayın ve onları hazırlayın. Ayrıca, kılıç ustası kadim bilgileri inceliyor ve iki yeni beceri ağacına sahip!","O evento de alquimia chegou! Colete ingredientes para criar e destilar recompensas emocionantes. Além disso, o mestre da espada tem estudado conhecimento antigo e tem duas novas habilidades na árvore de habilidades!"
JUNE2025LEGENDARYBUNDLE_TITLE,epic loot bundle!,,JUNE2025LegendaryBundle,Epic Loot Bundle!,史詩級戰利品包！,史诗级战利品包！,壮大な戦利品バンドル！,엄청난 전리품 번들!,Episk Byttebundt!,Epische Buitbundel!,Pack De Butin Épique !,Episches Beutepaket!,Pacchetto Di Bottino Epico!,Episk Byttepakke!,Эпический Набор Добычи!,¡Paquete De Botín Épico!,Episkt Bytepaket!,Epik Ganimet Paketi!,Pacote De Saque Épico!
JUNE2025LEGENDARYBUNDLE_CATCH_DESC,choose your rewards!,,JUNE2025LegendaryBundle,Choose Your Rewards!,選擇你的獎勵！,选择你的奖励！,報酬を選んでください！,보상을 선택하세요!,Vælg Dine Belønninger!,Kies Uw Beloningen!,Choisissez Vos Récompenses !,Wählen Sie Ihre Belohnungen!,Scegli I Tuoi Premi!,Velg Belønningene Dine!,Выбери Свои Награды!,¡Elige Tus Recompensas!,Välj Dina Belöningar!,Ödüllerinizi Seçin!,Escolha Suas Recompensas!
JUNE2025PETBUNDLE_TITLE,limited time pet bundle!,,JUNE2025PetBundle,Limited Time Pet Bundle!,限時寵物禮包！,限时宠物礼包！,期間限定のペットバンドル！,기간 한정 애완동물 번들!,Tidsbegrænset Kæledyrsbundt!,Tijdelijke Huisdierenbundel!,Pack D'Animaux De Compagnie À Durée Limitée !,Zeitlich Begrenztes Haustierpaket!,Pacchetto Animali Domestici Per Un Periodo Limitato!,Tidsbegrenset Kjæledyrbunt!,Ограниченный По Времени Набор Питомцев!,¡Paquete De Mascotas Por Tiempo Limitado!,Tidsbegränsad Husdjursbunt!,Sınırlı Süreli Evcil Hayvan Paketi!,Pacote De Animais De Estimação Por Tempo Limitado!
JUNE2025PETBUNDLE_CATCH_DESC,get tons of pets fast!,,JUNE2025PetBundle,Get tons of pets fast!,快速獲得大量寵物！,快速获得大量宠物！,たくさんのペットを早く手に入れましょう！,수많은 애완동물을 빠르게 확보하세요!,Få Tonsvis Af Kæledyr Hurtigt!,Krijg Snel Heel Veel Huisdieren!,Obtenez Des Tonnes D'Animaux Rapidement !,Holen Sie Sich Schnell Jede Menge Haustiere!,Ottieni Tonnellate Di Animali Domestici Velocemente!,Få Tonnevis Av Kjæledyr Raskt!,Быстро Получите Массу Домашних Животных!,¡Consigue Toneladas De Mascotas Rápidamente!,Få Massor Av Husdjur Snabbt!,Tonlarca Evcil Hayvanı Hızlı Bir Şekilde Alın!,Consiga Toneladas De Animais De Estimação Rapidamente!
