BonusType,AttributeBase,PowerBase,PowerInc,PowerExp,1,0,139,394,1113,3148,5784,8905,12445,22863,35200,49193,64667,81489,99561,118800,139140
BurstDamageSkillAmount,0.001,1,2E-4,2.4,1.001,1.001,1.069,1.200,1.621,3.230,6.327,11.644,20.068,61.737,148.805,304.752,556.840,935.794,1475.557,2213.104,3188.281
CritBoostSkillAmount,0.001,1,2E-4,1.8,1.001,1.001,1.052,1.147,1.437,2.410,3.990,6.304,9.482,22.026,42.606,72.940,114.631,169.195,238.078,322.665,424.295
TapBoostSkillAmount,0.001,1,2E-4,2,1.001,1.001,1.057,1.165,1.496,2.657,4.653,7.735,12.174,31.055,64.643,117.478,194.138,299.216,437.318,613.059,831.057
HelperBoostSkillAmount,0.001,1,2E-4,2,1.001,1.001,1.057,1.165,1.496,2.657,4.653,7.735,12.174,31.055,64.643,117.478,194.138,299.216,437.318,613.059,831.057
ShadowCloneSkillAmount,0.001,1,2E-4,1.6,1.001,1.001,1.046,1.130,1.380,2.186,3.422,5.138,7.386,15.621,28.082,45.287,67.685,95.673,129.611,169.826,216.624
TwilightFairySkillAmount,0.001,1,2E-4,1.6,1.0013,1.0010,1.0459,1.1299,1.3803,2.1856,3.4215,5.1381,7.3856,15.6215,28.0818,45.2869,67.6851,95.6734,129.6106,169.8258,216.6239
DualPetAmount,0.001,1,2E-4,2,1.0014,1.0010,1.0574,1.1646,1.4958,2.6568,4.6527,7.7349,12.1742,31.0550,64.6426,117.4784,194.1380,299.2159,437.3181,613.0586,831.0571
ThunderVolleySkillAmount,0.001,1,2E-4,2,1.0014,1.0010,1.0574,1.1646,1.4958,2.6568,4.6527,7.7349,12.1742,31.0550,64.6426,117.4784,194.1380,299.2159,437.3181,613.0586,831.0571
StreamOfBladesSkillAmount,0.001,1,2E-4,2,1.0014,1.0010,1.0574,1.1646,1.4958,2.6568,4.6527,7.7349,12.1742,31.0550,64.6426,117.4784,194.1380,299.2159,437.3181,613.0586,831.0571
AllActiveSkillAmount,0.001,1,2E-4,0.4,1.0011,1.0010,1.0120,1.0318,1.0847,1.2167,1.3610,1.5065,1.6495,1.9890,2.3030,2.5951,2.8693,3.1285,3.3751,3.6109,3.8374
