Level,Cost
1,1
2,3
3,5
4,10
5,14
6,17
7,28
8,34
9,40
10,55
11,65
12,82
13,95
14,140
15,182
16,195
17,204
18,209
19,213
20,232
21,240
22,260
23,267
24,271
25,275
26,280
27,284
28,291
29,342
30,345
31,348
32,351
33,354
34,357
35,361
36,364
37,367
38,373
39,404
40,410
41,413
42,417
43,525
44,540
45,547
46,555
47,570
48,577
49,585
50,600
51,615
52,630
53,645
54,660
55,675
56,690
57,705
58,720
59,735
60,750
61,765
62,780
63,795
64,810
65,825
66,840
67,855
68,870
69,885
70,900
71,920
72,940
73,960
74,980
75,1000
76,1020
77,1040
78,1060
79,1080
80,1102
81,1125
82,1147
83,1170
84,1192
85,1215
86,1237
87,1260
88,1282
89,1305
90,1327
91,1350
92,1372
93,1395
94,1417
95,1440
96,1462
97,1485
98,1507
99,1530
100,1555
101,1580
102,1605
103,1630
104,1655
105,1680
106,1705
107,1730
108,1755
109,1780
110,1805
111,1830
112,1855
113,1880
114,1905
115,1930
116,1955
117,1980
118,2005
119,2030
120,2055
121,2080
122,2105
123,2130
124,2155
125,2180
126,2205
127,2230
128,2255
129,2280
130,2305
131,2330
132,2355
133,2380
134,2405
135,2430
136,2455
137,2480
138,2505
139,2530
140,2555
141,2580
142,2605
143,2630
144,2655
145,2680
146,2705
147,2730
148,2755
149,2780
150,2805
